NUMBER,STREET NAME,streetAddress,city,latitude,longidtude,type
107,BOYD AVENUE,107 BOYD AVENUE,JERSEY CITY,40.717033,-74.0841839,Vacant Building
65,BOYD AVENUE,65 BOYD AVENUE,JERSEY CITY,40.716368,-74.082959,Vacant Building
182,BOYD AVENUE,182 BOYD AVENUE,JERSEY CITY,40.7186885,-74.0869359,Vacant Building
152,BOYD AVENUE,152 BOYD AVENUE,JERSEY CITY,40.7181126,-74.0857967,Vacant Building
17,BOYD AVENUE,17 BOYD AVENUE,JERSEY CITY,40.715302,-74.0811559,Vacant Building
364,BRAMHALL AVENUE,364 BRAMHALL AVENUE,JERSEY CITY,40.710897,-74.065882,Vacant Building
379.5,BRAMHALL AVENUE,379.5 BRAMHALL AVENUE,JERSEY CITY,40.711217,-74.0669379,Vacant Building
479,BRAMHALL AVENUE,479 BRAMHALL AVENUE,JERSEY CITY,40.71319,-74.07163,Vacant Building
585,BRAMHALL AVENUE,585 BRAMHALL AVENUE,JERSEY CITY,40.715515,-74.0757859,Vacant Building
608,BRAMHALL AVENUE,608 BRAMHALL AVENUE,JERSEY CITY,40.7163366,-74.0763854,Vacant Building
622,BRAMHALL AVENUE,622 BRAMHALL AVENUE,JERSEY CITY,40.716659,-74.076933,Vacant Building
625,BRAMHALL AVENUE,625 BRAMHALL AVENUE,JERSEY CITY,40.7164068,-74.0774536,Vacant Building
628,BRAMHALL AVENUE,628 BRAMHALL AVENUE,JERSEY CITY,40.7167585,-74.0772189,Vacant Building
95,BRIGHT STREET,95 BRIGHT STREET,JERSEY CITY,40.717343,-74.049491,Vacant Building
1,BROOK STREET,1 BROOK STREET,JERSEY CITY,40.7185431,-74.0539,Vacant Building
13,BROOK STREET,13 BROOK STREET,JERSEY CITY,40.718362,-74.054029,Vacant Building
41277,BROOK STREET,41277 BROOK STREET,JERSEY CITY,40.718587,-74.0539952,Vacant Building
"7,9",BROOK STREET,"7,9 BROOK STREET",JERSEY CITY,40.7186067,-74.0542882,Vacant Building
101,BROWN PLACE,101 BROWN PLACE,JERSEY CITY,40.69026,-74.092998,Vacant Building
44,BRYANT AVENUE,44 BRYANT AVENUE,JERSEY CITY,40.7333523,-74.0749295,Vacant Building
208,C. COLUMBUS DRIVE,208 C. COLUMBUS DRIVE,JERSEY CITY,40.721403,-74.0478679,Vacant Building
109,C.COLUMBUS DRIVE,109 C.COLUMBUS DRIVE,JERSEY CITY,40.719481,-74.0437446,Vacant Building
53,CAMBRIDGE AVENUE,53 CAMBRIDGE AVENUE,JERSEY CITY,40.744721,-74.0490282,Vacant Building
70,CAMBRIDGE AVENUE,70 CAMBRIDGE AVENUE,JERSEY CITY,40.745099,-74.048352,Vacant Building
198,CAMBRIDGE AVENUE,198 CAMBRIDGE AVENUE,JERSEY CITY,40.749556,-74.045728,Vacant Building
216,CAMBRIDGE AVENUE,216 CAMBRIDGE AVENUE,JERSEY CITY,40.750125,-74.045359,Vacant Building
121,CARTERET AVENUE,121 CARTERET AVENUE,JERSEY CITY,40.708452,-74.072986,Vacant Building
160,CARTERET AVENUE,160 CARTERET AVENUE,JERSEY CITY,40.7094358,-74.0747209,Vacant Building
161,CARTERET AVENUE,161 CARTERET AVENUE,JERSEY CITY,40.7091489,-74.07499,Vacant Building
185,CARTERET AVENUE,185 CARTERET AVENUE,JERSEY CITY,40.709484,-74.076139,Vacant Building
191,CARTERET AVENUE,191 CARTERET AVENUE,JERSEY CITY,40.709524,-74.0763149,Vacant Building
113,CATOR AVENUE,113 CATOR AVENUE,JERSEY CITY,40.696347,-74.090407,Vacant Building
211,CATOR AVENUE,211 CATOR AVENUE,JERSEY CITY,40.699164,-74.092799,Vacant Building
223,CATOR AVENUE,223 CATOR AVENUE,JERSEY CITY,40.699511,-74.09309,Vacant Building
229,CATOR AVENUE,229 CATOR AVENUE,JERSEY CITY,40.6997166,-74.0931741,Vacant Building
134-42,CATOR AVENUE,134-42 CATOR AVENUE,JERSEY CITY,40.6942424,-74.0882751,Vacant Building
164,CATOR AVENUE,164 CATOR AVENUE,JERSEY CITY,40.698218,-74.0913489,Vacant Building
12,CATOR AVENUE,12 CATOR AVENUE,JERSEY CITY,40.69371,-74.087522,Vacant Building
358,CENTRAL AVENUE,358 CENTRAL AVENUE,JERSEY CITY,40.7469309,-74.04827,Vacant Building
360,CENTRAL AVENUE,360 CENTRAL AVENUE,JERSEY CITY,40.747008,-74.04827,Vacant Building
329-331,CENTRAL AVENUE,329-331 CENTRAL AVENUE,JERSEY CITY,40.7462872,-74.0491846,Vacant Building
300,CHAPEL AVENUE,300 CHAPEL AVENUE,JERSEY CITY,40.698941,-74.088465,Vacant Building
307,CHAPEL AVENUE,307 CHAPEL AVENUE,JERSEY CITY,40.698851,-74.089149,Vacant Building
40,CHARLES STREET,40 CHARLES STREET,JERSEY CITY,40.7486971,-74.0496081,Vacant Building
120,CHESTNUT STREET,120 CHESTNUT STREET,JERSEY CITY,40.728806,-74.057067,Vacant Building
182,CLAREMONT AVENUE,182 CLAREMONT AVENUE,JERSEY CITY,40.710576,-74.0809699,Vacant Building
33,CLAREMONT AVENUE,33 CLAREMONT AVENUE,JERSEY CITY,40.706949,-74.074912,Vacant Building
97,CLAREMONT AVENUE,97 CLAREMONT AVENUE,JERSEY CITY,40.7081726,-74.0781169,Vacant Building
111,CLAREMONT AVENUE,111 CLAREMONT AVENUE,JERSEY CITY,40.708418,-74.078604,Vacant Building
170,CLAREMONT AVENUE,170 CLAREMONT AVENUE,JERSEY CITY,40.7102828,-74.0806337,Vacant Building
182,CLAREMONT AVENUE,182 CLAREMONT AVENUE,JERSEY CITY,40.710576,-74.0809699,Vacant Building
206,CLAREMONT AVENUE,206 CLAREMONT AVENUE,JERSEY CITY,40.711135,-74.081825,Vacant Building
